alias,ingredient_id,standard_name,match_type
water bore,AUS_F009515,"water, bore",generated
water bottled,AUS_F009516,"water, bottled",generated
water bottled carbonated or soda water,AUS_F008377,"water, bottled, carbonated or soda water",generated
water bottled flavoured added sugar,AUS_F009923,"water, bottled, flavoured, added sugar",generated
water bottled flavoured added sugar vitamins  and  minerals,AUS_F009517,"water, bottled, flavoured, added sugar, vitamins  and  minerals",generated
water bottled flavoured no added sugar,AUS_F010529,"water, bottled, flavoured, no added sugar",generated
water bottled flavoured no added sugar added vitamins  and  minerals,AUS_F009925,"water, bottled, flavoured, no added sugar, added vitamins  and  minerals",generated
water bottled new zealand,NZ_C41,"water, bottled, new zealand",generated
water chestnut,AUS_F009514,"water chestnut, peeled, canned, drained",generated
water chestnut  peeled  canned  drained,AUS_F009514,"water chestnut, peeled, canned, drained",generated
water chestnut peeled canned drained,AUS_F009514,"water chestnut, peeled, canned, drained",generated
"water chestnut, peeled, canned, drained",AUS_F009514,"water chestnut, peeled, canned, drained",exact
water filtered,AUS_F009519,"water, filtered",generated
water ice,AUS_F009520,"water, ice",generated
water rainwater or tank water,AUS_F009525,"water, rainwater or tank water",generated
water tap,AUS_F009527,"water, tap",generated
"water, bore",AUS_F009515,"water, bore",exact
"water, bottled",AUS_F009516,"water, bottled",exact
"water, bottled, carbonated or soda water",AUS_F008377,"water, bottled, carbonated or soda water",exact
"water, bottled, flavoured, added sugar",AUS_F009923,"water, bottled, flavoured, added sugar",exact
"water, bottled, flavoured, added sugar, vitamins  and  minerals",AUS_F009517,"water, bottled, flavoured, added sugar, vitamins  and  minerals",exact
"water, bottled, flavoured, no added sugar",AUS_F010529,"water, bottled, flavoured, no added sugar",exact
"water, bottled, flavoured, no added sugar, added vitamins  and  minerals",AUS_F009925,"water, bottled, flavoured, no added sugar, added vitamins  and  minerals",exact
"water, bottled, new zealand",NZ_C41,"water, bottled, new zealand",exact
"water, filtered",AUS_F009519,"water, filtered",exact
"water, ice",AUS_F009520,"water, ice",exact
"water, rainwater or tank water",AUS_F009525,"water, rainwater or tank water",exact
"water, tap",AUS_F009527,"water, tap",exact
watercress,AUS_F009532,"watercress, raw",generated
watercress  cooked,AUS_F009530,"watercress, cooked",generated
watercress  leafy vegetable  raw  fresh,NZ_X1280,"watercress, leafy vegetable, raw, fresh",generated
watercress  raw,AUS_F009532,"watercress, raw",generated
watercress  saut ed with olive oil,NZ_X1281,"watercress, saut ed with olive oil",generated
watercress cooked,AUS_F009530,"watercress, cooked",generated
watercress leafy vegetable raw fresh,NZ_X1280,"watercress, leafy vegetable, raw, fresh",generated
watercress raw,AUS_F009532,"watercress, raw",generated
watercress saut ed with olive oil,NZ_X1281,"watercress, saut ed with olive oil",generated
